date,open,high,low,close,volume
20110401,361500,365000,358500,361000,19568
20110404,359500,370500,359500,360000,22743
20110405,358000,364500,357500,364000,12652
20110406,360500,362500,358000,359000,28195
20110407,359500,360000,350500,354000,18084
20110408,352000,364000,350000,362000,30542
20110411,358000,358500,350500,350500,26966
20110412,349000,349000,338000,345000,23953
20110413,342000,345000,336500,340000,22689
20110414,341000,341500,332000,334500,47830
20110415,334500,340000,332500,337500,43092
20110418,339500,340000,333000,334500,28839
20110419,332000,333500,328500,329000,23549
20110420,331000,335500,327000,328500,33125
20110421,331500,338500,330000,333000,60419
20110422,335500,335500,326000,330000,32669
20110425,328000,334000,326000,326500,30847
20110426,327500,359500,327000,353000,111828
20110427,360000,372500,360000,365000,132251
20110428,363500,367500,359500,361500,55359
20110429,360000,365000,359000,362500,42573
20110502,365500,385500,365500,385000,93727
20110503,380000,385000,362000,363500,58601
20110504,362500,363500,348000,354000,56617
20110506,353000,356500,345500,348000,48587
20110509,346500,348500,341000,343000,17996
20110511,348000,351000,343500,350000,24735
20110512,345500,352000,337500,344500,42019
20110513,347500,348500,337000,339000,26728
20110516,338500,338500,332000,332000,18242
20110517,332000,339500,332000,332500,21157
20110518,334500,341000,334000,337500,15580
20110519,338000,338000,328000,328500,44128
20110520,329000,335500,329000,331500,17437
20110523,333000,333000,324000,324500,23132
20110524,324500,329000,322500,323000,21199
20110525,323000,325000,309500,310000,45556
20110526,311500,315000,310500,315000,19958
20110527,315000,322000,313000,314000,21845
20110530,320000,320500,313000,314500,12287
20110531,318000,324500,316000,318500,58230
20110601,322000,332000,321500,328000,27319
20110602,322000,324000,318500,319000,21673
20110603,319500,327500,318500,325500,22049
20110607,320000,324500,317000,322500,17666
20110608,322000,328000,319000,320500,16505
20110609,320000,320000,317500,318000,20864
20110610,320000,323000,308500,308500,28806
20110613,308500,315000,308500,314000,14301
20110614,310000,315000,310000,314000,19073
20110615,316500,321500,314000,321500,19291
20110616,316000,319000,311000,313000,15326
20110617,313500,323000,311000,315000,16043
20110620,315000,325500,313000,321500,21289
20110621,325000,331000,324000,330000,30443
20110622,332000,332000,326500,331500,23560
20110623,331000,334500,325500,333000,15976
20110624,335500,336000,331000,334500,15279
20110627,334000,334500,327000,332500,11777
20110628,335500,338000,331000,331000,12311
20110629,335000,337500,334000,337000,17194
20110630,337000,339500,331000,334000,17334
20110701,332500,341500,332500,337500,16696
20110704,339000,345000,338000,338500,14624
20110705,343000,344500,339500,344000,26288
20110706,344000,345000,338000,342500,27073
20110707,344500,351000,344500,350000,27254
20110708,345500,347500,339500,340500,72546
20110711,344000,351000,341500,349000,49095
20110712,344000,347500,340500,340500,10960
20110713,343000,347000,338000,342500,13685
20110714,345500,348500,334000,336500,37670
20110715,340000,352000,338500,345000,35414
20110718,348000,358000,345000,357000,39407
20110719,357000,357500,350500,352500,26777
20110720,351500,355000,344500,346000,34351
20110721,349000,355000,346000,349000,29143
20110722,351000,354500,347000,351000,16601
20110725,342000,352500,340500,349000,14237
20110726,348000,354500,343500,354500,23906
20110727,355000,363000,351500,361500,25821
20110728,355000,365500,355000,360500,30721
20110729,360500,360500,349500,350000,26078
20110801,350500,358000,350500,355500,24104
20110802,354500,354500,340000,342500,46482
20110803,336000,341000,320000,325500,51844
20110804,328500,328500,310000,311000,55530
20110805,295000,312000,295000,305000,41830
20110808,308500,308500,274500,285500,54111
20110809,271000,285500,260500,274000,75484
20110810,287000,289000,270000,273000,62718
20110811,261000,273500,261000,272000,47318
20110812,278500,282500,273000,273000,57458
20110816,280000,288500,280000,288000,49890
20110817,285000,297500,285000,292000,61515
20110818,294000,295000,282500,290500,24831
20110819,278500,281000,269500,271500,28801
20110822,267500,279500,266000,272000,24304
20110823,278000,283500,272000,280500,27091
20110824,282000,283000,276000,276000,28818
20110825,279500,286500,273500,273500,24343
20110826,272000,274000,269500,270000,19401
20110829,276000,282000,272000,282000,32456
20110830,284000,290500,282500,289500,37572
20110831,296000,299500,294000,298000,31934
20110901,299500,310000,297500,299000,41001
