date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,0,0,-44,30306,31.43,23.82,-120.04,150,241,1200,-1071,-312
2011-07-01,1.55,0.28,490,31650,29.94,23.96,-123.34,150,236,1117,-1170,-804
2011-10-01,0.98,0.17,297,30246,25.51,19.82,-129.88,150,246,2559,-1313,-1747
2012-01-01,0.14,0.02,42,29845,504.56,499.24,353.35,350,254,1988,-939,-1834
2012-04-01,0.45,0.08,141,30935,20.08,12.76,1701.11,350,234,1946,1117,-3989
2012-07-01,0.92,0.17,287,31073,12.39,8.24,0.48,350,229,2432,1226,-3650
2012-10-01,2.43,0.45,729,30060,11.67,3.44,-93.97,350,229,488,1258,-2354
2013-01-01,3.17,0.57,942,29754,487.34,482.17,388.12,350,240,1678,1102,-2674
2013-04-01,0.22,0.04,65,29772,11.61,6.1,-83.71,350,237,2047,-894,-1325
2013-07-01,0,0,-19,29754,12.17,7,-83.33,350,230,1199,-1032,-390
2013-10-01,0,0,-2440,25123,10.95,-3.15,-351.01,350,244,2328,-969,-1353
2014-01-01,0,0,-2773,24718,436.86,431.92,339.93,450,251,2272,-808,-1777
2014-04-01,0,0,-2982,24528,211.53,205.59,118.09,450,256,2509,-819,-1155
2014-07-01,0,0,-2887,26338,11.8,6.78,-76.97,450,239,3039,-516,-2254
2014-10-01,0,0,-5050,20664,11.13,5.76,-73.87,450,267,2197,-559,-1682
2015-01-01,0,0,-4701,20280,400.68,395.67,344.02,200,285,1946,-581,-528
2015-04-01,0,0,-4618,20345,11.41,5.44,-65.73,200,283,1745,-640,-792
2015-07-01,0,0,-4425,20836,11.86,5.99,-67.19,200,278,2042,-795,-51
2015-10-01,3.71,0.53,791,21340,11.77,1.99,-26.5,200,266,2830,-791,-1005
2016-01-01,2.79,0.4,593,21275,402.56,396.21,325.44,200,268,2122,-1043,-1656
2016-04-01,6,0.95,1369,22835,11.71,1.94,-355.99,200,236,1458,-288,-1826
2016-07-01,9.81,1.67,2367,24142,11.18,5.7,322.94,200,221,1611,-74,-2135
2016-10-01,5.26,0.85,1204,22901,11.46,5.64,-49.79,200,230,1666,-89,-1484
2017-01-01,3.35,0.53,735,21917,336.25,326.18,274.78,150,237,1760,62,-1201
2017-04-01,0.66,0.11,147,22203,11.59,4.72,-44.52,150,232,2105,-710,-1258
2017-07-01,0,0,-680,22641,18.9,13.13,-39.91,150,231,1042,-818,-640
2017-10-01,0,0,-619,21426,10.6,4.64,-48.15,150,258,3317,-1037,-1036
2018-01-01,0,0,-54,21375,299.01,294.06,246.29,200,247,304,-623,350
2018-04-01,0,0,-169,21504,11.23,4.28,-54.32,200,238,740,-150,-385
2018-07-01,0,0,-573,21598,11.23,6.06,-35.69,200,235,1115,-265,-667
2018-10-01,0,0,-116,20862,10.84,2.93,-80.66,200,264,1245,-1022,-199
2019-01-01,0,0,-521,20151,299.7,293.77,237.99,350,282,1395,-638,58
2019-04-01,0,0,-1323,19500,11.94,5.13,-51.24,350,288,1052,-1306,28
2019-07-01,0,0,-994,20000,12.51,5.23,-51.71,350,280,2749,-1357,-395
2019-10-01,0,0,-920,18776,13.77,4.01,-44.34,350,290,135,-614,-974
2020-01-01,0.08,0.01,16,19026,316.85,301.65,231.57,400,327,4521,-1723,-266
2020-04-01,8.09,0.86,1601,19780,14.12,2.94,-8.26,400,378,9198,-1726,3154
2020-07-01,8.62,1.03,1763,20461,14.8,3.63,-44.64,400,332,4122,-1963,2949
2020-10-01,13.08,1.93,2777,21237,12.35,5,-47.23,400,268,3657,-1573,-1044
